Mission,Rank,Total Score,Clear Time,Enemy Score,Egg Score,Combo Bonus,Mission Bonus,Defeated,Hatched,Driver,Dunk,Shoot,Tame,Hatch
Pirate 5,B,1900,02:18.01,1600,300,0,0,12,2,0,0,1,0,1
Pirate 5,S,5800,02:25.31,4800,1000,0,0,31,4,0,1,2,1,4
Pirate 5,S,3600,02:33.92,3400,200,0,0,28,1,0,0,2,0,1
Pirate 5,S,4300,02:39.96,4100,200,0,0,31,1,0,0,3,0,1
Pirate 5,S,4800,02:43.61,4100,700,0,0,31,4,0,2,0,1,3
Pirate 5,A,3300,03:02.33,3100,200,0,0,28,1,0,0,1,0,1
Pirate 5,S,5000,03:04.51,4700,300,0,0,28,2,0,3,1,0,1
Pirate 5,A,3600,03:22.88,3000,600,0,0,30,4,0,0,0,0,2
Pirate 5,S,4600,03:41.52,3800,800,0,0,29,4,0,0,2,0,4
Pirate 5,S,6000,03:52.25,5400,600,0,0,33,4,0,2,2,0,2
Pirate 5,A,4800,04:23.36,4500,300,0,0,30,2,0,2,2,0,1
,,,,,,,,,,,,,,
Pirate 6,C,6800,02:12.88,6800,0,0,0,60,0,0,2,0,0,0
Pirate 6,S,18600,02:38.24,18100,0,500,0,109,0,0,9,2,0,0
Pirate 6,S,17400,02:56.56,16900,0,500,0,100,0,0,6,5,0,0
Pirate 6,A,8200,02:57.40,8200,0,0,0,59,0,0,4,0,0,0
Pirate 6,S,19100,02:59.50,18600,0,500,0,102,0,1,8,2,0,0
Pirate 6,S,17400,03:41.05,16600,300,500,0,100,2,0,7,3,0,1
Pirate 6,S,17900,04:31.26,17300,600,0,0,100,2,1,8,1,0,2
Pirate 6,S,21300,05:03.40,20800,0,500,0,100,0,0,10,4,0,0
Pirate 6,D,7800,09:30.22,7200,100,500,0,28,1,0,5,0,0,0
,,,,,,,,,,,,,,
Pirate 7,S,10000,02:06.67,1800,0,0,8200,14,0,0,1,0,0,0
Pirate 7,S,14200,02:08.01,4000,0,0,10200,20,0,0,1,4,0,0
Pirate 7,S,13400,02:08.43,1800,0,0,11600,15,0,0,0,1,0,0
Pirate 7,S,13600,02:09.12,3000,0,0,10600,22,0,0,2,0,0,0
Pirate 7,S,12700,02:09.16,2700,0,0,10000,18,0,0,1,2,0,0
Pirate 7,S,12100,02:13.52,900,0,0,11200,9,0,0,0,0,0,0
,,,,,,,,,,,,,,
Pirate 8,S,8500,03:37.85,8400,100,0,0,64,1,1,5,0,0,0
Pirate 8,S,8300,04:52.97,8300,0,0,0,83,0,0,0,0,0,0
Pirate 8,S,11200,05:36.76,10900,300,0,0,90,2,0,2,3,0,1
Pirate 8,S,12200,05:58.27,11800,400,0,0,90,2,0,6,1,0,2
Pirate 8,S,10800,06:19.34,10400,400,0,0,90,2,0,1,3,0,2
Pirate 8,S,12200,06:22.03,11200,1000,0,0,81,6,0,5,1,1,4
Pirate 8,S,9400,09:46.81,10500,600,0,0,78,4,0,6,2,0,2
Pirate 8,A,5700,10:28.99,5200,500,0,0,44,3,0,0,1,2,2
Pirate 8,S,8400,11:33.12,7800,600,0,0,52,2,0,3,5,0,2
Pirate 8,C,3400,11:40.40,3400,0,0,0,27,0,0,0,1,0,0
Pirate 8,C,4700,12:06.03,4700,0,0,0,37,0,0,1,1,0,0
Pirate 8,S,8600,12:55.07,8600,0,0,0,57,0,0,4,1,0,0
